location_id,canonical_la_code,canonical_csp_code,canonical_csp_name,lookup_date,pair_match,lookup_member_la_codes,lookup_member_la_names,lookup_force_codes,includes_split_la,review_reason,boundary_compatibility,lsoa_to_csp_ready,source_url,retrieved_at,source_sha256,metadata_url,metadata_retrieved_at,metadata_sha256
chesterfield,E07000034,E22000039,Chesterfield,2025-04-01,yes,E07000034,Chesterfield,E23000018,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
coventry,E08000026,E22000336,Coventry,2025-04-01,yes,E08000026,Coventry,E23000014,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
darlington,E06000005,E22000072,Darlington,2025-04-01,yes,E06000005,Darlington,E23000008,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
derby,E06000015,E22000040,Derby,2025-04-01,yes,E06000015,Derby,E23000018,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
doncaster,E08000017,E22000260,Doncaster,2025-04-01,yes,E08000017,Doncaster,E23000011,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
gateshead,E08000037,E22000244,Gateshead,2025-04-01,yes,E08000037,Gateshead,E23000007,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
gloucester,E07000081,E22000096,Gloucester,2025-04-01,yes,E07000081,Gloucester,E23000037,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
halifax,E08000033,E22000343,Calderdale,2025-04-01,yes,E08000033,Calderdale,E23000010,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
hartlepool,E06000001,E22000027,Hartlepool,2025-04-01,yes,E06000001,Hartlepool,E23000013,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
huddersfield,E08000034,E22000344,Kirklees,2025-04-01,yes,E08000034,Kirklees,E23000010,no,Codes agree; boundary footprint and LSOA membership still unverified,Unverified,no,https://services1.arcgis.com/ESMARspQHYMw9BZ9/arcgis/rest/services/LAD25_CSP25_PFA25_EW_LU/FeatureServer/0/query?where=1%3D1&outFields=*&returnGeometry=false&f=json,2026-09-05T16:12:38.925293+00:00,91b2f04797e3f9aa6d3c3c772e5474326219e2288462628fb554235f83b7d4cf,https://www.arcgis.com/sharing/rest/content/items/8f77bda25c124e43aca5f3b90494e405?f=json,2026-09-05T16:12:38.429874+00:00,b19220190c40bdeca097f2d963149b6c0494e7065a235a9428bd0ec9a1cd16db
