bua_code,bua_name,standardisation_country,air_burden,no2_ug_m3,pm25_ug_m3,pm10_ug_m3,noise_exposed_pct,green_within_300m_pct,green_area_within_1000m_m2,epc_sap_mean,air_percentile,quiet_percentile,green_percentile,housing_environment_percentile,environment_index_0_100,national_percentile,score,air_period,quiet_period,green_period,housing_environment_period,air_evidence_id,quiet_evidence_id,green_evidence_id,housing_environment_evidence_id,geography_code,geography_vintage,air_population_covered,quiet_population_covered,green_population_covered,housing_environment_population_covered,population_expected,method_version,confidence,reason,exclusion_reason
E63011143,Gosfield,England,0.9276,6.153,6.824,12.041,43.919,59.807,45325.03,65.687,69.561,19.359,14.733,51.454,38.777,24.031,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,1453,1453,1453,1453,1453,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011144,Shalford (Braintree),England,0.8959,5.617,6.694,11.811,30.600,0.000,20493.06,57.229,75.167,69.730,2.587,1.602,37.272,18.455,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,356,356,356,356,356,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011145,Cottered,England,0.9055,5.839,6.743,11.764,30.900,100.000,23779.72,59.982,73.656,68.368,52.222,2.876,49.281,51.618,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,398,398,398,398,398,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011146,Little Oakley,England,0.9394,7.055,6.652,11.738,40.100,54.631,34347.01,63.762,67.166,29.175,9.699,18.332,31.093,10.789,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,637,637,637,637,637,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011147,Fritwell,England,0.9365,6.322,6.699,12.563,34.200,100.000,17137.67,64.650,67.821,51.461,51.440,30.056,50.195,54.005,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,370,370,370,370,370,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011148,White Colne,England,0.9285,6.270,6.785,12.023,51.800,0.000,0.00,62.275,69.414,9.824,1.140,7.188,21.892,0.597,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,370,370,370,370,370,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011149,Hitchin,England,1.0335,8.541,7.265,11.901,38.736,70.517,161824.48,65.759,52.359,31.994,45.281,53.456,45.773,41.406,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,35220,35220,35220,35220,35220,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011150,Fringford,England,0.8625,5.184,6.552,11.381,24.600,100.000,25486.94,54.487,79.628,90.152,52.409,0.722,55.728,64.661,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,592,592,592,592,592,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011151,North Aston,England,0.8427,4.817,6.457,11.322,36.400,100.000,10225.65,58.312,82.001,41.546,50.856,1.993,44.099,37.219,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,319,319,319,319,319,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011152,Corse,England,0.7294,4.021,5.702,9.687,26.708,67.707,16697.64,56.578,92.770,85.730,22.419,1.358,50.569,54.829,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,1217,1217,1217,1217,1217,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
E63011153,Earls Colne,England,0.9464,6.546,6.868,12.164,34.401,69.196,38340.76,65.686,65.868,50.746,27.365,51.450,48.857,50.970,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,,April 2024,3360,3360,3360,3360,3360,residential-environment-bua24-v3-country-calibrated,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, green space uses current OA origins and the union of eligible OS Open Greenspace polygons, and quiet and housing use population-weighted within-country percentile calibration.",
