location_id,country,noise_exposed_pct,baseline_quiet_percentile,country_calibrated_quiet_percentile,quiet_percentile_delta,epc_sap_mean,baseline_housing_environment_percentile,country_calibrated_housing_environment_percentile,housing_environment_percentile_delta,baseline_environment_index_0_100,baseline_score,quiet_calibrated_index_0_100,quiet_calibrated_score,housing_calibrated_index_0_100,housing_calibrated_score,both_calibrated_index_0_100,both_calibrated_score,maximum_absolute_band_change
milton-keynes,England,26.745,85.421,85.614,0.194,70.547,98.025,97.936,-0.089,81.501,5,81.550,5,81.479,5,81.528,5,0
neath,Wales,38.965,31.233,26.140,-5.092,65.032,37.289,47.946,10.657,49.529,3,48.256,3,52.193,3,50.920,3,0
newcastle-upon-tyne,England,41.426,25.533,25.893,0.360,66.982,75.751,75.321,-0.431,58.853,4,58.943,4,58.745,4,58.835,4,0
newport,Wales,38.798,31.696,31.085,-0.611,67.117,77.551,89.971,12.421,57.499,4,57.347,4,60.605,4,60.452,4,0
northampton,England,29.894,73.287,73.395,0.109,67.264,79.473,78.861,-0.612,62.717,5,62.744,5,62.564,4,62.591,4,1
norwich,England,28.040,80.595,80.659,0.064,66.536,68.295,68.524,0.228,55.534,4,55.550,4,55.591,4,55.607,4,0
nottingham,England,33.060,58.720,58.798,0.078,65.532,48.569,48.276,-0.294,47.554,3,47.574,3,47.481,3,47.500,3,0
oxford,England,33.741,54.863,54.782,-0.082,66.983,76.053,75.637,-0.415,60.400,4,60.379,4,60.296,4,60.275,4,0
peterborough,England,33.792,53.876,53.744,-0.132,68.532,90.565,90.309,-0.255,66.933,5,66.900,5,66.869,5,66.836,5,0
plymouth,England,23.419,93.464,93.737,0.273,66.481,67.495,67.689,0.194,75.437,5,75.506,5,75.486,5,75.554,5,0
portsmouth,England,36.658,40.373,40.614,0.241,65.608,50.451,50.140,-0.311,43.656,2,43.716,2,43.578,2,43.638,2,0
preston,England,41.255,25.884,26.254,0.370,65.167,39.881,39.433,-0.447,47.673,3,47.766,3,47.561,3,47.654,3,0
reading,England,35.685,45.162,45.517,0.356,66.022,59.423,59.341,-0.081,45.178,3,45.267,3,45.157,3,45.246,3,0
rhyl,Wales,29.568,75.093,72.371,-2.722,63.436,14.958,25.056,10.097,53.308,3,52.628,3,55.833,4,55.152,4,1
rotherham,England,33.159,57.895,57.946,0.050,64.274,26.820,26.458,-0.361,38.287,2,38.299,2,38.196,2,38.209,2,0
salford,England,48.865,12.069,12.079,0.010,70.608,98.263,98.180,-0.083,49.153,3,49.156,3,49.133,3,49.135,3,0
sheffield,England,31.726,64.993,65.290,0.297,65.184,41.523,41.160,-0.364,53.493,4,53.567,4,53.402,3,53.476,3,1
shrewsbury,England,33.542,55.957,55.913,-0.043,66.977,75.170,74.710,-0.460,67.186,5,67.175,5,67.071,5,67.060,5,0
southampton,England,37.054,39.274,39.497,0.223,66.188,62.064,62.094,0.030,49.877,3,49.933,3,49.885,3,49.941,3,0
southend-on-sea,England,34.833,49.422,49.238,-0.183,61.806,6.110,5.702,-0.408,29.116,1,29.070,1,29.014,1,28.968,1,0
st-helens,England,32.570,60.227,60.327,0.100,65.539,48.819,48.533,-0.286,58.751,4,58.776,4,58.680,4,58.705,4,0
stafford,England,40.437,28.429,28.848,0.419,65.920,56.995,56.851,-0.144,43.214,2,43.318,2,43.178,2,43.282,2,0
stockport,England,44.270,18.351,18.440,0.089,64.162,25.981,25.648,-0.333,39.559,2,39.581,2,39.475,2,39.497,2,0
stockton-on-tees,England,29.437,75.871,76.042,0.171,65.674,51.641,51.323,-0.318,60.349,4,60.391,4,60.269,4,60.312,4,0
stoke-on-trent,England,36.657,40.835,41.099,0.264,64.710,32.370,31.813,-0.558,52.877,3,52.943,3,52.738,3,52.804,3,0
sunderland,England,41.517,24.945,25.275,0.330,65.463,47.352,47.016,-0.336,41.432,2,41.514,2,41.348,2,41.430,2,0
swansea,Wales,29.980,72.507,70.897,-1.610,64.466,28.804,42.494,13.690,60.675,4,60.272,4,64.097,5,63.695,5,1
swindon,England,24.115,91.313,91.625,0.312,68.386,89.548,89.241,-0.307,83.784,5,83.862,5,83.707,5,83.785,5,0
telford,England,31.204,66.889,67.225,0.336,68.565,91.218,90.996,-0.222,78.965,5,79.049,5,78.909,5,78.993,5,0
torbay,England,22.317,95.081,95.326,0.245,63.717,18.288,17.714,-0.574,61.932,4,61.993,4,61.788,4,61.849,4,0
wakefield,England,38.284,33.441,33.505,0.064,65.899,56.607,56.463,-0.144,47.903,3,47.919,3,47.867,3,47.883,3,0
walsall,England,47.675,13.514,13.579,0.064,63.352,14.430,13.967,-0.463,20.901,1,20.917,1,20.785,1,20.801,1,0
warrington,England,38.522,32.587,32.651,0.063,66.776,72.581,72.156,-0.426,60.549,4,60.565,4,60.443,4,60.459,4,0
wigan,England,33.287,57.567,57.603,0.036,64.966,36.647,36.181,-0.466,50.448,3,50.457,3,50.331,3,50.340,3,0
wolverhampton,England,32.359,61.867,62.042,0.176,63.531,16.199,15.611,-0.588,35.961,1,36.005,1,35.814,1,35.858,1,0
worcester,England,33.640,55.349,55.280,-0.069,65.553,49.133,48.786,-0.346,49.902,3,49.885,3,49.816,3,49.799,3,0
wrexham,Wales,28.529,79.312,78.387,-0.924,66.543,68.398,65.438,-2.960,78.136,5,77.905,5,77.396,5,77.165,5,0
york,England,29.679,74.815,74.990,0.175,66.405,65.925,66.039,0.114,69.271,5,69.315,5,69.299,5,69.343,5,0
