force_name,month,asb_count
Gloucestershire Constabulary,2025-05,1187
Gloucestershire Constabulary,2025-06,1288
Gloucestershire Constabulary,2025-07,1362
Gloucestershire Constabulary,2025-08,1189
Gloucestershire Constabulary,2025-09,940
Gloucestershire Constabulary,2025-10,933
Gloucestershire Constabulary,2025-11,936
Gloucestershire Constabulary,2025-12,840
Gloucestershire Constabulary,2026-01,892
Gwent Police,2025-04,1231
Gwent Police,2025-05,1124
Gwent Police,2025-06,1125
Gwent Police,2025-07,1223
Gwent Police,2025-08,1283
Hampshire Constabulary,2025-04,1817
Hampshire Constabulary,2025-05,1923
Hampshire Constabulary,2025-06,1652
Hampshire Constabulary,2025-07,2241
Hampshire Constabulary,2025-08,430
Hampshire Constabulary,2025-09,1546
Hampshire Constabulary,2025-10,1644
Hampshire Constabulary,2025-11,1314
Hampshire Constabulary,2025-12,1183
Hampshire Constabulary,2026-01,1250
Hampshire Constabulary,2026-02,1333
Hampshire Constabulary,2026-03,1766
Hertfordshire Constabulary,2025-04,1908
Hertfordshire Constabulary,2025-05,2072
Hertfordshire Constabulary,2025-06,2336
Hertfordshire Constabulary,2025-07,2530
Hertfordshire Constabulary,2025-08,2018
Hertfordshire Constabulary,2025-09,1602
Hertfordshire Constabulary,2025-10,1759
Hertfordshire Constabulary,2025-11,1439
Hertfordshire Constabulary,2025-12,1430
Hertfordshire Constabulary,2026-01,1331
Hertfordshire Constabulary,2026-02,1368
Hertfordshire Constabulary,2026-03,1846
Humberside Police,2025-04,755
Humberside Police,2025-05,733
Humberside Police,2025-06,834
Humberside Police,2025-07,799
Humberside Police,2025-08,845
Humberside Police,2025-09,626
Humberside Police,2025-10,724
Humberside Police,2025-11,485
Humberside Police,2025-12,467
Humberside Police,2026-01,477
Humberside Police,2026-02,503
Humberside Police,2026-03,591
Kent Police,2025-04,2614
Kent Police,2025-05,2807
Kent Police,2025-06,2990
Kent Police,2025-07,3691
Kent Police,2025-08,3480
Kent Police,2025-09,2547
Kent Police,2025-10,2591
Kent Police,2025-11,2589
Kent Police,2025-12,2339
Kent Police,2026-01,2142
Kent Police,2026-02,2300
Kent Police,2026-03,2752
Lancashire Constabulary,2025-04,5241
Lancashire Constabulary,2025-05,5095
Lancashire Constabulary,2025-06,4655
Lancashire Constabulary,2025-07,5361
Lancashire Constabulary,2025-08,5387
Lancashire Constabulary,2025-09,4014
Lancashire Constabulary,2025-10,4436
Lancashire Constabulary,2025-11,3570
Lancashire Constabulary,2025-12,3343
Lancashire Constabulary,2026-01,2437
Lancashire Constabulary,2026-02,1652
Lancashire Constabulary,2026-03,2067
Leicestershire Police,2025-04,1294
Leicestershire Police,2025-05,1444
Leicestershire Police,2025-06,1347
Leicestershire Police,2025-07,1485
Leicestershire Police,2025-08,1498
Leicestershire Police,2025-09,1101
Leicestershire Police,2025-10,1278
Leicestershire Police,2025-11,881
Leicestershire Police,2025-12,829
Leicestershire Police,2026-01,948
Leicestershire Police,2026-02,974
Leicestershire Police,2026-03,1284
Lincolnshire Police,2025-04,1377
Lincolnshire Police,2025-05,1460
Lincolnshire Police,2025-06,1595
Lincolnshire Police,2025-07,1651
Lincolnshire Police,2025-08,1627
Lincolnshire Police,2025-09,1323
Lincolnshire Police,2025-10,1268
