force_code,force_name,category,period_start,period_end,force_count,unallocated_count,unallocated_percent,material_threshold_percent,review_status,represented_locations,evidence_id,source_url,retrieval_date,source_sha256,source_cells
E23000024,Norfolk,violence_against_person,2025-04-01,2026-03-31,24620,269,1.093,5.000,Below 5%; retain for review,norwich,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000025,Suffolk,sexual_offences,2025-04-01,2026-03-31,2654,66,2.487,5.000,Below 5%; retain for review,ipswich,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000025,Suffolk,violence_against_person,2025-04-01,2026-03-31,18203,239,1.313,5.000,Below 5%; retain for review,ipswich,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000026,Bedfordshire,sexual_offences,2025-04-01,2026-03-31,2290,203,8.865,5.000,Material; investigate before comparison,luton,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000026,Bedfordshire,violence_against_person,2025-04-01,2026-03-31,19200,666,3.469,5.000,Below 5%; retain for review,luton,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000028,Essex,sexual_offences,2025-04-01,2026-03-31,6170,315,5.105,5.000,Material; investigate before comparison,colchester | southend-on-sea,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000028,Essex,violence_against_person,2025-04-01,2026-03-31,58849,1111,1.888,5.000,Below 5%; retain for review,colchester | southend-on-sea,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000029,Thames Valley,sexual_offences,2025-04-01,2026-03-31,7345,128,1.743,5.000,Below 5%; retain for review,burford | milton-keynes | oxford | reading,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000029,Thames Valley,violence_against_person,2025-04-01,2026-03-31,63490,377,0.594,5.000,Below 5%; retain for review,burford | milton-keynes | oxford | reading,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000030,Hampshire,sexual_offences,2025-04-01,2026-03-31,7120,281,3.947,5.000,Below 5%; retain for review,portsmouth | southampton,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000030,Hampshire,violence_against_person,2025-04-01,2026-03-31,62298,1322,2.122,5.000,Below 5%; retain for review,portsmouth | southampton,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000033,Sussex,sexual_offences,2025-04-01,2026-03-31,5882,344,5.848,5.000,Material; investigate before comparison,brighton-hove | rye,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000033,Sussex,violence_against_person,2025-04-01,2026-03-31,46496,899,1.933,5.000,Below 5%; retain for review,brighton-hove | rye,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000035,Devon and Cornwall,sexual_offences,2025-04-01,2026-03-31,6678,2,0.030,5.000,Below 5%; retain for review,exeter | plymouth | torbay,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000035,Devon and Cornwall,violence_against_person,2025-04-01,2026-03-31,56685,1,0.002,5.000,Below 5%; retain for review,exeter | plymouth | torbay,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000036,Avon and Somerset,sexual_offences,2025-04-01,2026-03-31,7765,394,5.074,5.000,Material; investigate before comparison,bath | bristol,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000036,Avon and Somerset,violence_against_person,2025-04-01,2026-03-31,69922,1365,1.952,5.000,Below 5%; retain for review,bath | bristol,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000037,Gloucestershire,sexual_offences,2025-04-01,2026-03-31,2250,321,14.267,5.000,Material; investigate before comparison,cheltenham | gloucester,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000037,Gloucestershire,violence_against_person,2025-04-01,2026-03-31,18177,535,2.943,5.000,Below 5%; retain for review,cheltenham | gloucester,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000038,Wiltshire ,sexual_offences,2025-04-01,2026-03-31,2417,99,4.096,5.000,Below 5%; retain for review,swindon,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000038,Wiltshire ,violence_against_person,2025-04-01,2026-03-31,17873,100,0.560,5.000,Below 5%; retain for review,swindon,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000039,Dorset,sexual_offences,2025-04-01,2026-03-31,2247,58,2.581,5.000,Below 5%; retain for review,bournemouth-poole,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
E23000039,Dorset,violence_against_person,2025-04-01,2026-03-31,18452,199,1.078,5.000,Below 5%; retain for review,bournemouth-poole,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000001,North Wales,sexual_offences,2025-04-01,2026-03-31,2582,5,0.194,5.000,Below 5%; retain for review,bangor | rhyl | wrexham,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000001,North Wales,violence_against_person,2025-04-01,2026-03-31,23879,12,0.050,5.000,Below 5%; retain for review,bangor | rhyl | wrexham,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000002,Gwent,sexual_offences,2025-04-01,2026-03-31,2338,0,0.000,5.000,Below 5%; retain for review,chepstow | newbridge | newport,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000002,Gwent,violence_against_person,2025-04-01,2026-03-31,22424,0,0.000,5.000,Below 5%; retain for review,chepstow | newbridge | newport,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000003,South Wales,sexual_offences,2025-04-01,2026-03-31,4678,55,1.176,5.000,Below 5%; retain for review,bridgend | cardiff | merthyr-tydfil | neath | swansea,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000003,South Wales,violence_against_person,2025-04-01,2026-03-31,41549,290,0.698,5.000,Below 5%; retain for review,bridgend | cardiff | merthyr-tydfil | neath | swansea,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000004,Dyfed-Powys,sexual_offences,2025-04-01,2026-03-31,2047,175,8.549,5.000,Material; investigate before comparison,hay-on-wye | llanelli | narberth | tenby,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
W15000004,Dyfed-Powys,violence_against_person,2025-04-01,2026-03-31,16746,1298,7.751,5.000,Material; investigate before comparison,hay-on-wye | llanelli | narberth | tenby,CRIME-ONS-2026-CSP,https://www.ons.gov.uk/file?uri=/peoplepopulationandcommunity/crimeandjustice/datasets/policeforceareadatatables/yearendingmarch2026/pfatablesyemarch2026.xlsx,2026-09-05,27d7884ef0e07dad01e602e48a430871ea2db1f558dbaa496e1f1f22e06c307f,Force total and named CSP rows in Table C2
