Location,Country,Local authority,Latitude,Longitude,Violence/sexual indicator,ASB indicator,Crime geography,Safety score,Safety confidence,Buy all-flat achieved median,Buy transactions,Buy confidence,Buy affordability score,Rent one-bed modelled average pcm,Rent confidence,Rent affordability score,One-bed buy count,One-bed rent count,Tower signal,Buy market score,Rent market score,Buy stock score,Rent stock score,Local transport score,Local transport confidence,London minutes,London changes,Birmingham minutes,Birmingham changes,National transport score,National confidence,Quiet score,Quiet confidence,Condition score,Condition confidence,Buy screen /100,Rent screen /100,Buy priority /75,Rent priority /75,Serious priority weaknesses,Buy confidence /3,Rent confidence /3,Buy unknowns,Rent unknowns,Buy rank,Rent rank,Shortlist,Qualified via
Gloucester,England,Gloucester,51.86455,-2.246934,1819,941,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,145000,681,High,1,743,Medium,1,74,65,Unclear,3,3,2.5,2.5,4,Medium,105,0,55,0,5,Medium,3,Medium,4,Medium,65.5,65.5,48,48,0,2.142857142857143,2,0,0,18,21,Not proposed,
Halifax,England,Calderdale,53.722827,-1.860176,2608,618,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,127500,216,High,3,546,Medium,5,34,49,Unclear,3,3,2.5,2.5,4,High,180,1,145,1,3,Medium,3,Medium,3,Low,64.5,70.5,51,57,0,2.142857142857143,2,0,0,24,5,Proposed,Rent
Hartlepool,England,Hartlepool,54.685388,-1.212911,2928,1192,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,3,Medium,83014,106,High,5,400,Medium,5,16,9,Unclear,2,1,1.5,1,3,Medium,195,1,195,1,2,Medium,3,Medium,2,Low,56.5,55,48,48,0,2,1.8571428571428572,0,0,57,59,Not proposed,
Huddersfield,England,Kirklees,53.644281,-1.782201,2621,498,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,110000,288,High,5,582,Medium,3,33,91,Unclear,3,4,2.5,3.5,4,High,175,1,135,1,3,Medium,3,Medium,3,Low,70.5,67.5,57,51,0,2.142857142857143,2,0,0,5,12,Proposed,Both
Hull (Kingston upon Hull),England,"Kingston upon Hull, City of",53.744587,-0.332576,2361,405,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,95000,406,High,5,498,Medium,5,92,128,Unclear,4,4,3.5,3.5,4,Medium,165,0,145,1,3,Medium,2,Medium,3,Low,70.5,70.5,54,54,0,2,1.8571428571428572,0,0,6,6,Proposed,Both
Ipswich,England,Ipswich,52.057066,1.152832,2451,442,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,137000,545,High,1,743,Medium,1,117,80,Unclear,4,4,3.5,3.5,4,Medium,65,0,170,1,4,Medium,3,Medium,3,Low,63.5,63.5,45,45,0,2,1.8571428571428572,0,0,29,34,Not proposed,
Kettering,England,North Northamptonshire,52.399947,-0.728307,1819,1216,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,129475,210,High,3,681,Medium,3,15,30,Unclear,2,3,1.5,2.5,3,Medium,55,0,70,0,5,Medium,3,Medium,3,Low,62.5,65.5,48,48,0,2,1.8571428571428572,0,0,34,23,Not proposed,
Lancaster,England,Lancaster,54.050069,-2.803161,1646,1154,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,4,Medium,130000,231,High,3,596,Medium,3,26,9,Unclear,3,1,2.5,1,4,Medium,145,0,110,0,4,Medium,4,Medium,4,Medium,72.5,68,57,57,0,2.142857142857143,2,0,0,2,9,Proposed,Both
Leeds,England,Leeds,53.800703,-1.550264,5009,1514,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,155000,2152,High,1,779,Medium,1,453,627,Unclear,5,5,4.5,4.5,5,High,130,0,115,0,4,Medium,2,Medium,4,Medium,63.5,63.5,42,42,0,2.2857142857142856,2.142857142857143,0,0,31,36,Not proposed,
Leicester,England,Leicester,52.633614,-1.133462,5784,2366,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,130000,803,High,3,717,Medium,1,190,386,Unclear,4,5,3.5,4.5,4,Medium,65,0,55,0,5,Medium,2,Medium,3,Low,59.5,56.5,39,33,1,2,1.8571428571428572,0,0,47,57,Not proposed,
Lincoln,England,Lincoln,53.234841,-0.53844,2430,1967,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,2,Medium,118000,285,High,3,661,Medium,3,47,68,Unclear,3,3,2.5,2.5,3,Medium,120,0,105,1,4,Medium,3,Medium,4,Medium,60.5,60.5,45,45,0,2.142857142857143,2,0,0,44,47,Not proposed,
Liverpool,England,Liverpool,53.40935,-2.978495,6195,1908,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,1,Medium,145000,2356,High,1,683,Medium,3,965,347,Unclear,5,5,4.5,4.5,5,High,135,0,95,0,4,Medium,2,Medium,4,Medium,60.5,66.5,39,45,1,2.2857142857142856,2.142857142857143,0,0,45,17,Not proposed,
Loughborough,England,Charnwood,52.7721,-1.206164,1448,703,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,132000,206,High,3,677,Medium,3,17,20,Unclear,2,2,1.5,1.5,3,Medium,75,0,75,0,5,Medium,3,Medium,3,Low,65.5,65.5,51,51,0,2,1.8571428571428572,0,0,16,19,Not proposed,
Manchester,England,Manchester,53.47894,-2.245278,,,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,,Low,192500,4478,High,1,998,Medium,1,1372,1456,Unclear,5,5,4.5,4.5,5,High,125,0,90,0,4,Medium,2,Medium,4,Medium,67.6470588235294,67.6470588235294,45,45,0,2.142857142857143,2,1,1,9,11,Proposed,Both
Merthyr Tydfil,Wales,Merthyr Tydfil,51.745911,-3.378347,878,417,data.police.uk street-crime records within 1 mile of Postcodes.io place centroid,5,Medium,66248,22,Low,5,552,Medium,5,3,3,Unclear,1,1,1,1,3,High,205,1,185,2,2,Medium,3,Medium,2,Low,61,61,54,54,0,1.7142857142857142,1.8571428571428572,0,0,42,44,Not proposed,
