relative_path,original_url,request_query,retrieved_at,data_period,sha256,mime_type,publisher,licence_or_terms,coverage_limitations
rent/pipr-2026-08-19.xlsx,https://www.ons.gov.uk/file?uri=/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics/19august2026/priceindexofprivaterentsukmonthlypricestatistics.xlsx,ONS archived dataset edition: 19 August 2026,2026-09-06T22:24:59.010624+00:00,2026-07,9e172e7d32a43c8c979a6d394d717d862f66775295f604d2f223b2035374223e,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Office for National Statistics,Open Government Licence v3.0,Modelled LA means; July 2026 values may have been provisional.
price/pp-2024.csv,https://price-paid-data.publicdata.landregistry.gov.uk/pp-2024.csv,Official HMLR yearly CSV bulk file; downloaded whole file and preparation applies inclusive 2024-07-01 to 2026-06-30 filter,2026-09-06T22:37:01.481498+00:00,2024-01-01/2024-12-31,887c3d70674b50384b8caefdea936a8336952fbafc27659f33b0679819e9e558,text/csv,HM Land Registry,Open Government Licence v3.0,Whole 2024 file retained; only 2024-07-01 onward is in the probe window. Data are current HMLR revisions as retrieved and registrations may lag.
price/pp-2025.csv,https://price-paid-data.publicdata.landregistry.gov.uk/pp-2025.csv,Official HMLR yearly CSV bulk file; downloaded whole file and preparation applies inclusive 2024-07-01 to 2026-06-30 filter,2026-09-06T22:37:09.915956+00:00,2025-01-01/2025-12-31,00031f353d91cec625ad2212dd2f436eb77fc31e0776d5bf17fe4587fc4e0c24,text/csv,HM Land Registry,Open Government Licence v3.0,Whole 2025 file retained. Data are current HMLR revisions as retrieved and registrations may lag.
price/pp-2026.csv,https://price-paid-data.publicdata.landregistry.gov.uk/pp-2026.csv,Official HMLR yearly CSV bulk file; downloaded whole file and preparation applies inclusive 2024-07-01 to 2026-06-30 filter,2026-09-06T22:37:12.844357+00:00,2026-01-01/2026-12-31,75350d850ddf68b2f2221f0aea187c2b4ff817266cbdfaecdbffd1991b8ff177,text/csv,HM Land Registry,Open Government Licence v3.0,Whole 2026 file retained; only through 2026-06-30 is in the probe window. Data are current HMLR revisions as retrieved and registrations may lag.
