location_id,air_burden,no2_ug_m3,pm25_ug_m3,pm10_ug_m3,noise_exposed_pct,green_within_300m_pct,green_area_within_1000m_m2,epc_sap_mean,air_percentile,quiet_percentile,green_percentile,housing_environment_percentile,environment_index_0_100,national_percentile,score,air_period,quiet_period,green_period,housing_environment_period,air_evidence_id,quiet_evidence_id,green_evidence_id,housing_environment_evidence_id,geography_code,geography_vintage,air_population_covered,quiet_population_covered,green_population_covered,housing_environment_population_covered,population_expected,method_version,confidence,reason
ipswich,1.0902,9.826,7.388,12.156,36.165,63.248,218875.45,65.718,39.189,43.315,43.197,52.447,44.537,38.252,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010852,April 2024,151566,151566,151566,151566,151566,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
kettering,1.1011,9.814,7.433,12.531,29.821,73.483,206343.65,65.453,37.040,73.801,59.293,46.836,54.243,61.043,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010129,April 2024,63149,63149,63149,63149,63149,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
lancaster,0.7824,6.910,5.401,8.639,43.597,87.418,260702.78,65.111,88.244,19.448,82.369,37.863,56.981,66.887,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007656,April 2024,52646,52646,52646,52646,52646,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
leeds,1.2185,13.658,7.490,11.878,36.276,71.614,241309.52,64.841,24.404,42.784,61.995,34.531,40.929,29.162,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007883,April 2024,536262,536262,536262,536262,536262,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
leicester,1.2706,13.877,7.877,12.728,27.838,73.947,270555.78,64.025,20.435,81.700,73.569,22.530,49.558,52.751,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009743,April 2024,406331,406331,406331,406331,406331,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
lincoln,1.0915,8.181,7.773,13.529,29.805,56.737,200673.57,66.864,38.746,73.987,34.392,73.806,55.233,62.822,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008729,April 2024,104553,104553,104553,104553,104553,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
liverpool,1.0990,12.571,6.692,10.521,34.008,72.865,286005.96,65.858,38.033,52.958,73.902,56.125,55.255,63.762,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008477,April 2024,506768,506768,506768,506768,506768,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
llanelli,0.6374,5.592,4.467,6.896,39.983,71.013,172729.01,63.510,97.483,29.108,47.306,15.639,47.384,44.537,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001070,April 2024,42143,42143,42143,42143,42143,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
loughborough,1.0602,9.721,7.099,11.832,29.560,61.816,110576.34,66.437,44.457,75.207,24.743,66.368,52.694,57.734,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009412,April 2024,64299,64299,64299,64299,64299,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
luton,1.1753,11.761,7.558,12.575,40.963,63.274,239386.32,64.462,28.082,27.025,47.328,28.478,32.728,13.340,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63011256,April 2024,233524,233524,233524,233524,233524,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
manchester,1.3054,15.598,7.752,12.091,41.841,70.407,235160.38,67.486,15.800,23.387,57.734,82.035,44.739,39.402,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008401,April 2024,470736,470736,470736,470736,470736,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
merthyr-tydfil,0.6850,5.211,5.027,7.930,36.136,72.301,228797.43,65.543,95.286,43.558,59.879,48.908,61.908,78.789,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001012,April 2024,40817,40817,40817,40817,40817,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
middlesbrough,0.9585,10.284,5.933,9.907,31.952,72.325,237014.49,65.370,64.339,63.202,62.442,44.010,58.498,69.810,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007408,April 2024,147862,147862,147862,147862,147862,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
milton-keynes,1.0634,9.069,7.294,12.367,26.745,95.778,477511.84,70.547,44.147,85.421,98.414,98.025,81.501,98.796,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010901,April 2024,194584,194584,194584,194584,194584,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
neath,0.7219,6.630,4.900,7.839,38.965,68.877,118041.79,65.032,93.277,31.233,36.317,37.289,49.529,52.019,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001091,April 2024,40738,40738,40738,40738,40738,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
newcastle-upon-tyne,1.0482,12.317,6.251,9.941,41.426,77.609,315273.91,66.982,49.249,25.533,84.878,75.751,58.853,70.807,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007169,April 2024,285852,285852,285852,285852,285852,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
newport,0.9785,10.523,6.037,10.138,38.798,73.031,213199.69,67.117,61.330,31.696,59.421,77.551,57.499,68.116,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001174,April 2024,130882,130882,130882,130882,130882,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
northampton,1.1355,10.175,7.542,13.210,29.894,71.791,264163.40,67.264,31.840,73.287,66.267,79.473,62.717,80.193,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63010463,April 2024,243883,243883,243883,243883,243883,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
norwich,1.0674,9.142,7.428,12.035,28.040,60.468,157134.19,66.536,43.259,80.595,29.986,68.295,55.534,64.375,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009624,April 2024,200492,200492,200492,200492,200492,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
nottingham,1.2561,13.912,7.717,12.506,33.060,72.330,230761.96,65.532,21.855,58.720,61.074,48.569,47.554,45.794,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009088,April 2024,299786,299786,299786,299786,299786,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
oxford,1.0536,9.848,7.055,11.477,33.741,75.027,220587.16,66.983,46.148,54.863,64.535,76.053,60.400,74.659,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63011595,April 2024,169612,169612,169612,169612,169612,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
peterborough,1.0864,9.414,7.402,12.562,33.792,87.119,263435.15,68.532,40.128,53.876,83.164,90.565,66.933,86.544,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009810,April 2024,190592,190592,190592,190592,190592,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
plymouth,0.8300,7.383,5.509,9.746,23.419,73.910,189643.58,66.481,83.600,93.464,57.190,67.495,75.437,95.082,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63014082,April 2024,266970,266970,266970,266970,266970,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
portsmouth,1.0499,11.508,6.580,10.242,36.658,65.848,147872.57,65.608,47.449,40.373,36.351,50.451,43.656,36.370,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63013748,April 2024,223324,223324,223324,223324,223324,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
preston,0.9565,9.687,6.157,10.039,41.255,66.185,271830.14,65.167,64.766,25.884,60.162,39.881,47.673,46.043,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007926,April 2024,94502,94502,94502,94502,94502,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
reading,1.0535,9.928,7.109,11.187,35.685,58.762,166494.69,66.022,46.657,45.162,29.469,59.423,45.178,40.184,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63012182,April 2024,203097,203097,203097,203097,203097,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
rhyl,0.6476,3.953,4.973,8.292,29.568,64.877,92428.87,63.436,97.098,75.093,26.084,14.958,53.308,59.064,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45000645,April 2024,26982,26982,26982,26982,26982,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
rotherham,1.2065,12.548,7.736,12.261,33.159,56.364,250855.46,64.274,25.387,57.895,43.044,26.820,38.287,22.469,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008458,April 2024,70761,70761,70761,70761,70761,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
salford,1.3543,16.613,7.833,12.526,48.865,77.075,254627.38,70.608,12.528,12.069,73.753,98.263,49.153,51.458,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008377,April 2024,108431,108431,108431,108431,108431,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
sheffield,1.1031,10.884,7.346,11.278,31.726,72.157,273769.89,65.184,36.699,64.993,70.756,41.523,53.493,60.096,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008489,April 2024,500587,500587,500587,500587,500587,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
shrewsbury,0.7815,5.552,5.709,9.714,33.542,75.629,116511.98,66.977,88.413,55.957,49.204,75.170,67.186,86.934,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009578,April 2024,75784,75784,75784,75784,75784,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
southampton,1.0438,11.682,6.488,9.985,37.054,63.144,242465.00,66.188,50.014,39.274,48.157,62.064,49.877,53.571,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63013524,April 2024,249633,249633,249633,249633,249633,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
southend-on-sea,1.0820,10.253,7.342,11.287,34.833,47.947,139369.25,61.806,40.963,49.422,19.971,6.110,29.116,7.465,1,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63011939,April 2024,182295,182295,182295,182295,182295,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
st-helens,1.0687,11.167,6.811,10.911,32.570,80.291,278404.10,65.539,42.858,60.227,83.100,48.819,58.751,70.193,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008434,April 2024,107409,107409,107409,107409,107409,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
stafford,0.9423,7.568,6.651,11.096,40.437,49.769,139680.06,65.920,66.846,28.429,20.585,56.995,43.214,35.371,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009353,April 2024,71695,71695,71695,71695,71695,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
stockport,1.2083,13.243,7.564,11.819,44.270,82.549,321106.67,64.162,24.970,18.351,88.932,25.981,39.559,26.740,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63008478,April 2024,118146,118146,118146,118146,118146,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
stockton-on-tees,0.9030,9.021,5.817,9.652,29.437,65.444,181623.88,65.674,74.037,75.871,39.846,51.641,60.349,74.295,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007405,April 2024,84824,84824,84824,84824,84824,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
stoke-on-trent,1.0693,10.286,7.119,11.334,36.657,88.269,449338.29,64.710,42.571,40.835,95.733,32.370,52.877,58.450,3,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009014,April 2024,260001,260001,260001,260001,260001,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
sunderland,0.9426,9.663,5.992,9.948,41.517,57.363,155661.37,65.463,66.705,24.945,26.725,47.352,41.432,30.825,2,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63007220,April 2024,167989,167989,167989,167989,167989,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
swansea,0.7385,7.241,4.914,7.629,29.980,66.862,217926.83,64.466,92.109,72.507,49.279,28.804,60.675,76.128,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,W45001113,April 2024,169795,169795,169795,169795,169795,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
swindon,0.9764,8.579,6.730,10.879,24.115,89.341,307721.36,68.386,61.937,91.313,92.337,89.548,83.784,99.486,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63011979,April 2024,183687,183687,183687,183687,183687,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
telford,0.8580,6.364,6.227,10.381,31.204,90.532,223016.90,68.565,80.366,66.889,77.385,91.218,78.965,97.762,5,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63009565,April 2024,156326,156326,156326,156326,156326,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
torbay,0.7213,4.867,5.344,9.123,22.317,71.057,130757.54,63.717,93.291,95.081,41.067,18.288,61.932,78.986,4,2024 annual mean,2021 strategic noise model,OS Open Greenspace 2026-04,EPCs 2012-2024,ENV-AIR-DEFRA-2024,ENV-NOISE-IOD-WIMD-2025,ENV-GREEN-OS-OPEN-2026-04,ENV-EPC-IOD-WIMD-2025,E63014039;E63014055;E63014084,April 2024,137645,137645,137645,137645,137645,residential-environment-bua24-v2,Medium,"Population-weighted across the reviewed April 2024 built-up area; air uses OA population-weighted centroids, small-area indicators use exact-fit lookups, and green space uses current OA origins and the union of eligible OS Open Greenspace polygons."
