location_id,topic,url
bolton,crime,https://data.police.uk/api/crimes-street/all-crime?lat=53.577709&lng=-2.431041&date=2026-07
bolton,crime,https://data.police.uk/docs/method/crime-street/
bolton,crime,https://data.police.uk/changelog/
bolton,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
bolton,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
bolton,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
bolton,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E182&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
bolton,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E182&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
bolton,market,https://los.rightmove.co.uk/typeahead?query=Bolton
bolton,transport,https://www.nationalrail.co.uk/journey-planner/
bolton,transport,https://www.traveline.info/
bolton,transport,https://tfgm.com/
bolton,environment,https://uk-air.defra.gov.uk/data/pcm-data
bolton,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
bolton,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
bradford,crime,https://api.postcodes.io/places?q=Bradford
bradford,crime,https://api.postcodes.io/postcodes?lon=-1.754561&lat=53.790778&limit=1&radius=2000
bradford,crime,https://data.police.uk/api/crimes-street/all-crime?lat=53.790778&lng=-1.754561&date=2026-07
bradford,crime,https://data.police.uk/docs/method/crime-street/
bradford,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
bradford,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
bradford,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
bradford,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E198&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
bradford,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E198&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
bradford,market,https://los.rightmove.co.uk/typeahead?query=Bradford
bradford,transport,https://www.nationalrail.co.uk/journey-planner/
bradford,transport,https://www.traveline.info/
bradford,transport,https://www.wymetro.com/
bradford,environment,https://uk-air.defra.gov.uk/data/pcm-data
bradford,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
bradford,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
burnley,crime,https://api.postcodes.io/places?q=Burnley
burnley,crime,https://api.postcodes.io/postcodes?lon=-2.244390&lat=53.787517&limit=1&radius=2000
burnley,crime,https://data.police.uk/api/crimes-street/all-crime?lat=53.787517&lng=-2.244390&date=2026-07
burnley,crime,https://data.police.uk/docs/method/crime-street/
burnley,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
burnley,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
burnley,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
burnley,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E252&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
burnley,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E252&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
burnley,market,https://los.rightmove.co.uk/typeahead?query=Burnley
burnley,transport,https://www.nationalrail.co.uk/journey-planner/
burnley,transport,https://www.traveline.info/
burnley,environment,https://uk-air.defra.gov.uk/data/pcm-data
burnley,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
burnley,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
burton-on-trent,crime,https://api.postcodes.io/places?q=Burton%20upon%20Trent
burton-on-trent,crime,https://api.postcodes.io/postcodes?lon=-1.644791&lat=52.807376&limit=1&radius=2000
burton-on-trent,crime,https://data.police.uk/api/crimes-street/all-crime?lat=52.807376&lng=-1.644791&date=2026-07
burton-on-trent,crime,https://data.police.uk/docs/method/crime-street/
burton-on-trent,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
burton-on-trent,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
burton-on-trent,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
burton-on-trent,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E256&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
burton-on-trent,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E256&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
burton-on-trent,transport,https://www.nationalrail.co.uk/journey-planner/
burton-on-trent,transport,https://www.traveline.info/
burton-on-trent,environment,https://uk-air.defra.gov.uk/data/pcm-data
burton-on-trent,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
burton-on-trent,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
cardiff,crime,https://api.postcodes.io/places?q=Cardiff
cardiff,crime,https://api.postcodes.io/postcodes?lon=-3.176855&lat=51.480005&limit=1&radius=2000
cardiff,crime,https://data.police.uk/api/crimes-street/all-crime?lat=51.480005&lng=-3.176855&date=2026-07
cardiff,crime,https://data.police.uk/docs/method/crime-street/
cardiff,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
cardiff,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
cardiff,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
cardiff,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E281&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
cardiff,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E281&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
cardiff,market,https://los.rightmove.co.uk/typeahead?query=Cardiff
cardiff,transport,https://www.nationalrail.co.uk/journey-planner/
cardiff,transport,https://www.traveline.info/
cardiff,transport,https://tfw.wales/
cardiff,environment,https://uk-air.defra.gov.uk/data/pcm-data
cardiff,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
cardiff,environment,https://stats.gov.wales/en-GB/2f8dfe38-bfa8-4f61-bc34-1d84d470a940
cardiff,environment,https://stats.gov.wales/en-GB/8c4e387a-d221-4a24-9fd4-50bdaacbe273
chester,crime,https://api.postcodes.io/places?q=Chester
chester,crime,https://api.postcodes.io/postcodes?lon=-2.891644&lat=53.190204&limit=1&radius=2000
chester,crime,https://data.police.uk/api/crimes-street/all-crime?lat=53.190204&lng=-2.891644&date=2026-07
chester,crime,https://data.police.uk/docs/method/crime-street/
chester,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
chester,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
chester,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
chester,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E313&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
chester,market,https://www.rightmove.co.uk/property-to-rent/find.html?locationIdentifier=REGION%5E313&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=true&mustHave=&dontShow=houseShare%2Cretirement&furnishTypes=&keywords=
chester,market,https://los.rightmove.co.uk/typeahead?query=Chester
chester,transport,https://www.nationalrail.co.uk/journey-planner/
chester,transport,https://www.traveline.info/
chester,environment,https://uk-air.defra.gov.uk/data/pcm-data
chester,environment,https://api.os.uk/downloads/v1/products/OpenGreenspace
chester,environment,https://www.gov.uk/government/statistics/english-indices-of-deprivation-2025
chesterfield,crime,https://api.postcodes.io/places?q=Chesterfield
chesterfield,crime,https://api.postcodes.io/postcodes?lon=-1.429206&lat=53.236330&limit=1&radius=2000
chesterfield,crime,https://data.police.uk/api/crimes-street/all-crime?lat=53.236330&lng=-1.429206&date=2026-07
chesterfield,crime,https://data.police.uk/docs/method/crime-street/
chesterfield,buy,https://www.gov.uk/government/statistical-data-sets/price-paid-data-downloads
chesterfield,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/datasets/priceindexofprivaterentsukmonthlypricestatistics
chesterfield,rent,https://www.ons.gov.uk/economy/inflationandpriceindices/bulletins/privaterentandhousepricesuk/august2026
chesterfield,market,https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E315&minBedrooms=1&maxBedrooms=1&propertyTypes=flat&includeSSTC=false&mustHave=&dontShow=retirement%2CsharedOwnership&furnishTypes=&keywords=
