relative_path,original_url,request_query,retrieved_at,data_period,sha256,byte_size,mime_type,publisher,licence_or_terms,coverage_limitations
fixed-coverage-output-areas.zip,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/multi-sector/infrastructure-research/connect-nations-spring-2025/data-downloads/fixed-coverage-output-areas.zip?v=396497,GET published download,2026-09-11,January 2025 availability snapshot,0a6b308ef249fca55841f6c7ceab43cc8a9301743fcb1b9e68aa6a04cc78140e,9121425,application/zip,Ofcom,Open Government Licence,"Residential and all-premise OA coverage; provider-reported availability is not observed speed, take-up, price, reliability or in-home performance."
about-this-data-fixed-coverage.pdf,https://www.ofcom.org.uk/siteassets/resources/documents/research-and-data/multi-sector/infrastructure-research/connect-nations-spring-2025/data-downloads/about-this-data---fixed-coverage-and-full-fibre-take-up.pdf?v=396500,GET published download,2026-09-11,January 2025 availability snapshot,a92206b35587f71911da7b5d4937e8201526263675d2560985e81eddc2ba8425,359877,application/pdf,Ofcom,Open Government Licence,Definitions and coverage metadata for the retained fixed-broadband files.
